id_mc,id_blazar_mc,aper_mc,IAU_name_mc,ra2000_mc,dec2000_mc,name_mc,Rmag_mc,Rmagerr_mc,PolDeg_mc,ErrPolDeg_mc,PolAngle_mc,ErrPolAngle_mc
57,13,16,"","09 58 52.539","+65 35 59.34","S4 0954+65 4",14.25,0.03,,,,
58,13,16,"","09 59 09.4568","+65 34 15.094","S4 0954+65 6",14.43,0.03,,,,
57,13,16,"","09 58 48.415","+65 35 59.00","S4 0954+65 7",15.22,0.03,,,,
59,14,16,"1055+018","10 58 29.6239","+01 33 58.739","PKS 1055+018",-99.0,-99.0,,,,
60,14,16,"","10 58 27.4490","+01 34 32.964","PKS 1055+018 1",15.474,0.038,,,,
61,14,16,"","10 58 28.2367","+01 36 26.958","PKS 1055+018 2",14.122,0.035,,,,
62,15,14,"1101+384","11 04 27.3133","+38 12 31.81261","MRK 421",-99.0,-99.0,,,,
63,15,14,"","11 04 51.124","+38 17 11.62","MRK 421 1",14.04,0.02,,,,
64,15,14,"","11 04 18.188","+38 16 30.53","MRK 421 2",15.20,0.03,,,,
65,15,14,"","11 04 38.160","+38 15 55.07","MRK 421 3",15.24,0.03,,,,
66,16,16,"1156+295","11 59 31.8319","+29 14 43.838","4C 29.45",-99.0,-99.0,,,,
#67,16,16,"","11 59 45.1610","+29 11 35.22","4C 29.45 1",13.01,0.02,,,,
#68,16,16,"","11 59 57.6550","+29 15 08.026","4C 29.45 2",15.00,0.02,,,,
#69,16,16,"","11 59 58.7779","+29 15 43.734","4C 29.45 3",15.54,0.02,,,,
70,16,16,"","11 59 53.6299","+29 15 48.760","4C 29.45 4",16.28,0.02,,,,
71,16,16,"","11 59 39.1290","+29 17 55.640","4C 29.45 B",16.42,0.02,,,,
72,16,16,"","11 59 31.9340","+29 16 18.270","4C 29.45 C",17.11,0.02,,,,
73,16,16,"","11 59 27.0380","+29 16 31.340","4C 29.45 D",17.14,0.02,,,,
182,17,16,"1622-297","16 26 06.0208","-29 51 26.970","PKS 1622-297",-99.0,-99.0,,,,
183,17,16,"","16 26 04.717","-29 51 51.14","PKS 1622-297 1",16.2,0.02,,,,
184,17,16,"","16 26 01.331","-29 51 19.17","PKS 1622-297 2",16.1,0.02,,,,
185,17,16,"","16 26 01.153","-29 50 11.73","PKS 1622-297 3",16.3,0.02,,,,
186,17,16,"","16 26 03.699","-29 49 53.02","PKS 1622-297 4",16.3,0.02,,,,
187,17,16,"","16 25 59.834","-29 50 40.46","PKS 1622-297 5",15.8,0.02,,,,
77,18,16,"1226+023","12 29 06.7280","+02 03 07.832","3C 273",-99.0,-99.0,,,,
78,18,16,"","12 28 46.0355","+02 02 14.370","3C 273 C",11.30,0.04,,,,
78,18,16,"","12 28 50.872","+02 06 33.17","3C 273 D",12.31,0.04,,,,
79,18,16,"","12 29 08.2569","+02 00 19.676","3C 273 E",12.27,0.05,,,,
80,18,16,"","12 29 03.1611","+02 03 18.355","3C 273 G",13.16,0.05,,,,
81,19,25,"1253-055","12 56 11.1741","-05 47 21.488","3C 279",-99.0,-99.0,,,,
84,19,25,"","12 56 10.290","-05 50 14.08","3C 279 1",12.05,0.02,,,,
84,19,25,"","12 56 28.5292","-05 44 23.170","3C 279 2",12.56,0.03,,,,
83,19,25,"","12 56 26.5850","-05 45 23.326","3C 279 3",14.53,0.02,,,,
82,19,25,"","12 56 14.4863","-05 46 47.610","3C 279 5",15.47,0.02,,,,
85,20,16,"1308+326","13 10 28.6649","+32 20 43.802","B2 1308+30",-99.0,-99.0,,,,
#86,20,16,"","13 10 54.1095","+32 18 41.300","B2 1308+30 A",12.71,0.04,,,,
#87,20,16,"","13 10 57.6198","+32 21 10.894","B2 1308+30 B",12.35,0.03,,,,
#88,20,16,"","13 10 35.3867","+32 17 50.983","B2 1308+30 C",13.20,0.03,,,,
88,20,16,"","13 10 10.888","+32 20 08.38","B2 1308+30 D",13.366,0.021,,,,
88,20,16,"","13 10 17.957","+32 20 06.47","B2 1308+30 E",16.084,0.016,,,,
#88,20,16,"","13 10 6.506","+32 19 20.60","B2 1308+30 F",13.88,0.2,,,,
88,20,16,"","13 10 22.394","+32 20 48.34","B2 1308+30 G",17.072,0.015,,,,
89,21,16,"1406-076","14 08 56.4696","-07 52 26.711","pks1406",-99.0,-99.0,,,,
90,21,16,"","14 08 59.1786","-07 52 23.142","pks1406 A",16.366,0.021,,,,
91,21,16,"","14 08 55.9514","-07 53 09.944","pks1406 D",16.777,0.008,,,,
92,21,16,"","14 09 02.5529","-07 53 00.890","pks1406 B",15.034,0.006,,,,
167,22,16,"0430+052","04 33 11.0956735296","+05 21 15.619461552","3C 120",-99.0,-99.0,,,,
168,22,16,"","04 33 27.819","+05 20 59.42","3C 120 1",13.902,0.008,,,,
169,22,16,"","04 33 20.425","+05 20 46.13","3C 120 2",14.919,0.012,,,,
170,22,16,"","04 33 23.251","+05 19 51.20","3C 120 3",14.861,0.011,,,,
97,23,16,"1611+382","16 13 41.1050","+34 12 47.718","q1611",-99.0,-99.0,,,,
98,23,16,"","16 13 49.4667","+34 11 41.971","q1611 C",13.69,0.04,,,,
99,23,16,"","16 13 37.6459","+34 13 58.555","q1611 C2",13.34,0.03,,,,
100,24,16,"1633+382","16 35 15.4983","+38 08 04.418","4C 38.41",-99.0,-99.0,,,,
101,24,16,"","16 35 20.4454","+38 05 40.441","4C 38.41 A",15.48,0.05,,,,
102,24,16,"","16 35 25.4237","+38 06 16.098","4C 38.41 B",15.44,0.05,,,,
