id_mc,id_blazar_mc,aper_mc,IAU_name_mc,ra2000_mc,dec2000_mc,name_mc,Rmag_mc,Rmagerr_mc,PolDeg_mc,ErrPolDeg_mc,PolAngle_mc,ErrPolAngle_mc
261,69,16,"","19 59 57.363","+65 09 41.06","B 1959+650 4",14.08,0.03,,,,
262,69,16,"","19 59 44.393","+65 10 04.54","B 1959+650 5",14.00,0.02,,,,
263,69,16,"","20 00 00.577","+65 07 46.68","B 1959+650 6",14.78,0.03,,,,
264,69,16,"","20 00 09.592","+65 07 57.77","B 1959+650 7",14.79,0.03,,,,
#265,70,16,"2134+004","21 36 38.6","+00 41 54","B 2134+004",-99.0,-99.0,,,,
#266,71,16,"2145+067","21 48 05.5","+06 57 39","B 2145+067",-99.0,-99.0,,,,
267,72,16,"2227-088","22 29 40.1","-08 32 54","B 2227-088",-99.0,-99.0,,,,
268,72,16,"","22 29 31.316","-08 33 53.25","B 2227-088 1",16.62,-99.0,,,,
269,72,16,"","22 29 39.732","-08 32 30.91","B 2227-088 2",14.70,-99.0,,,,
270,72,16,"","22 29 44.578","-08 31 20.32","B 2227-088 3",14.74,-99.0,,,,
271,73,16,"0215+015","02 17 48.95445204960","+01 44 49.6932963360","PKS 0215+015",-99.0,-99.0,,,,
272,73,16,"","02 17 47.025","+01 43 00.38","PKS 0215+015 1",18.23,-99.0,,,,
273,73,16,"","02 17 42.710","+01 45 44.59","PKS 0215+015 2",15.63,-99.0,,,,
274,73,16,"","02 17 35.680","+01 44 01.16","PKS 0215+015 3",15.44,-99.0,,,,
275,73,16,"","02 17 34.176","+01 46 32.63","PKS 0215+015 4",15.30,-99.0,,,,
276,73,16,"","02 17 32.639","+01 46 44.88","PKS 0215+015 5",15.80,-99.0,,,,
277,73,16,"","02 17 27.605","+01 42 53.02","PKS 0215+015 6",15.96,-99.0,,,,
278,73,16,"","02 18 18.143","+01 39 46.15","PKS 0215+015 7",17.92,-99.0,,,,
10,74,16,"","02 38 39.864954501","+16 37 19.587562664","ao0235-8",14.203,0.003,,,,
11,74,16,"","02 38 45.9270","+16 37 35.060","ao0235-9",14.190,0.022,,,,
11,74,16,"","02 38 45.9270","+16 37 35.060","ao0235-9",14.190,0.022,,,,
12,74,16,"","02 38 38.4690","+16 38 16.230","ao0235-10",15.743,0.024,,,,
13,74,16,"","02 38 45.5180","+16 38 47.610","ao0235-11",13.589,0.013,,,,
