ra2000,dec2000,IAU_name,name,aper_pix,Rmag,Rmagerr,PolDeg,ErrPolDeg,PolAngle,ErrPolAngle
16 13 37.6459,+34 13 58.555,,q1611-C2,16,13.34,0.03,,,,
16 35 15.4983,+38 08 04.418,1633+382,q1633,16,,,,,,
16 35 20.4454,+38 05 40.441,,q1633-A,16,15.48,0.05,,,,
16 35 25.4237,+38 06 16.098,,q1633-B,16,15.44,0.05,,,,
16 42 58.8037,+39 48 36.893,1641+399,3c345,16,,,,,,
16 42 54.8331,+39 50 00.572,,3c345-4,16,14.768,0.006,,,,
16 42 52.8702,+39 48 33.507,,3c345-19,16,14.470,0.006,,,,
17 51 32.8304,+09 39 00.716,1749+096,ot081,16,,,,,,
17 51 28.8673,+09 40 07.529,,ot081-C3,16,13.80,0.04,,,,
17 51 31.0943,+09 39 41.155,,ot081-C4,16,13.94,0.04,,,,
17 51 30.0727,+09 38 35.334,,ot081-C5,16,14.45,0.04,,,,
22 02 43.2990,+42 16 39.589,2200+420,bllac,15,,,,,,
22 02 45.4696,+42 16 34.830,,bllac-B,15,11.99,0.04,,,,
22 02 40.0940,+42 17 10.450,,bllac-C,15,13.79,0.05,,,,
22 02 32.6659,+42 16 47.424,,bllac-H,15,13.73,0.06,,,,
22 25 47.2622,-04 57 01.706,2223-052,3c446,16,,,,,,
22 25 49.1097,-04 57 57.541,,3c446-1,16,14.77,0.05,,,,
22 25 45.3791,-04 55 57.078,,3c446-2,16,15.21,0.05,,,,
22 32 36.4330,+11 43 50.625,2230+114,cta102,16,,,,,,
22 32 22.2873,+11 42 24.402,,cta102-1,16,13.56,0.04,,,,
22 32 23.9908,+11 44 22.199,,cta102-2,16,14.07,0.07,,,,
22 53 57.7529,+16 08 53.479,2251+158,3c454.3,11,,,,,,
22 53 58.1730,+16 09 06.294,,3c454.3-1,11,13.15,0.02,,,,
22 53 53.5911,+16 05 13.682,,3c454.3-2,11,13.19,0.02,,,,
22 53 51.0413,+16 05 54.701,,3c454.3-3,11,14.00,0.02,,,,
22 53 55.1152,+16 07 08.358,,3c454.3-4,11,14.79,0.02,,,,
03 14 05.3363,+59 33 48.489,HD19820,HD19820,30,6.8,,4.526,0.025,114.46,0.16
04 06 08.0671,+62 06 06.620,HD25443,HD25443,30,6.6,,4.734,0.045,134.21,0.28
17 05 32.2589,-00 53 31.439,HD154445,HD154445,30,5.39,,3.683,0.072,88.91,0.56
17 43 47.0221,-07 04 46.591,HD161056,HD161056,30,5.94,,4.012,0.032,67.33,0.23
