,ra2000,dec2000,name,Rmag,Rmagerr,PolDeg,ErrPolDev,PolAngle,ErrPolAngle,ra2000_deg,dec2000_deg
58,12 29 08.2569,+02 00 19.676,3c273-E,12.27,0.05,,,,,187.28440375,2.0054655555555554
59,12 29 03.1611,+02 03 18.355,3c273-G,13.16,0.05,,,,,187.26317125,2.055098611111111
60,12 56 11.1741,-05 47 21.488,3c279,-99.0,-99.0,,,,,194.04655875,-5.789302222222222
61,12 56 14.4863,-05 46 47.610,3c279-5,15.47,0.02,,,,,194.06035958333334,-5.779891666666667
62,12 56 26.5850,-05 45 23.326,3c279-3,14.53,0.02,,,,,194.11077083333333,-5.7564794444444445
63,12 56 28.5292,-05 44 23.170,3c279-2,12.56,0.03,,,,,194.11887166666668,-5.739769444444445
64,13 10 54.1095,+32 18 41.300,b21308-A,12.71,0.04,,,,,197.72545625,32.31147222222222
65,13 10 57.6198,+32 21 10.894,b21308-B,12.35,0.03,,,,,197.7400825,32.35302611111111
66,13 10 35.3867,+32 17 50.983,b21308-C,13.2,0.03,,,,,197.64744458333334,32.29749527777778
67,14 08 56.4696,-07 52 26.711,pks1406,-99.0,-99.0,,,,,212.23529,-7.874086388888889
68,14 08 59.1786,-07 52 23.142,pks1406-A,16.366,0.021,,,,,212.2465775,-7.873095
69,14 08 55.9514,-07 53 09.944,pks1406-D,16.777,0.008,,,,,212.23313083333332,-7.886095555555555
70,14 09 02.5529,-07 53 00.890,pks1406-B,15.034,0.006,,,,,212.26063708333334,-7.883580555555555
71,15 12 50.5148,-09 05 59.533,pks1510,-99.0,-99.0,,,,,228.21047833333333,-9.099870277777779
72,15 12 44.2107,-09 06 39.273,pks1510-3,13.95,0.03,,,,,228.18421125,-9.110909166666666
73,15 12 51.6437,-09 05 23.313,pks1510-4,14.22,0.03,,,,,228.21518208333333,-9.089809166666667
74,15 12 52.8461,-09 06 59.347,pks1510-6,14.61,0.02,,,,,228.22019208333333,-9.116485277777777
75,16 13 41.1050,+34 12 47.718,q1611,-99.0,-99.0,,,,,243.42127083333332,34.213255000000004
76,16 13 49.4667,+34 11 41.971,q1611-C,13.69,0.04,,,,,243.45611125,34.19499194444444
77,16 13 37.6459,+34 13 58.555,q1611-C2,13.34,0.03,,,,,243.40685791666667,34.232931944444445
78,16 35 15.4983,+38 08 04.418,q1633,-99.0,-99.0,,,,,248.81457625,38.13456055555555
79,16 35 20.4454,+38 05 40.441,q1633-A,15.48,0.05,,,,,248.83518916666668,38.094566944444445
80,16 35 25.4237,+38 06 16.098,q1633-B,15.44,0.05,,,,,248.85593208333333,38.10447166666667
81,16 42 58.8037,+39 48 36.893,3c345,-99.0,-99.0,,,,,250.74501541666666,39.810248055555554
82,16 42 54.8331,+39 50 00.572,3c345-4,14.767999999999999,0.006,,,,,250.72847125,39.833492222222226
83,16 42 52.8702,+39 48 33.507,3c345-19,14.47,0.006,,,,,250.7202925,39.809307499999996
84,17 51 32.8304,+09 39 00.716,ot081,-99.0,-99.0,,,,,267.88679333333334,9.65019888888889
85,17 51 28.8673,+09 40 07.529,ot081-C3,13.8,0.04,,,,,267.8702804166667,9.668758055555555
86,17 51 31.0943,+09 39 41.155,ot081-C4,13.94,0.04,,,,,267.87955958333333,9.661431944444445
87,17 51 30.0727,+09 38 35.334,ot081-C5,14.45,0.04,,,,,267.87530291666667,9.643148333333333
88,22 02 43.2990,+42 16 39.589,bllac,-99.0,-99.0,,,,,330.6804125,42.27766361111111
89,22 02 45.4696,+42 16 34.830,bllac-B,11.99,0.04,,,,,330.6894566666667,42.27634166666667
90,22 02 40.0940,+42 17 10.450,bllac-C,13.79,0.05,,,,,330.66705833333333,42.28623611111111
